cik,original,cloned
1584246,28.9,-11.2
1801145,-9.1,7.2
1698060,25.1,27.6
1173889,-4.4,-1.1
1574408,7.4,9.0
1765285,133.9,143.3
944804,-17.6,-17.5
1360533,-0.7,20.9
1512848,-8.6,-35.5
1731509,138.9,121.4
872080,-12.5,312.3
1598245,1.7,-10.5
1166309,-19.0,-20.0
1278678,-2.7,-1.6
1455251,-12.3,-9.8
1696136,-12.1,-9.2
1262124,-27.8,-29.6
1779040,16.4,-3.2
1790723,-38.3,132.6
1731152,29.2,33.5
1317208,-10.2,-15.1
1406995,-4.1,0.1
1511098,3.5,13.1
1617516,40.2,1.4
853758,40.4,61.9
883511,-7.5,-11.7
1653202,18.0,59.6
1354739,17.3,35.2
1415912,-4.8,-0.9
1783139,77.2,253.0
1633313,36.3,22.2
1774552,28.0,28.7
1584087,-15.6,-17.0
1454946,-30.5,-31.5
1785498,4.7,11.5
1735734,2.4,6.7
1368163,16.0,214.2
1697847,8.8,12.2
1630360,1.8,39.6
941519,7.5,9.6
1763121,165.8,67.8
1114928,-9.4,-3.7
1606430,-2.4,-0.7
1603142,-61.7,-47.4
1691982,50.7,59.4
1800692,13.9,25.5
1802131,-7.4,-8.2
1728689,-5.8,-13.5
1467902,-26.0,149.0
1581793,17.1,45.5
1619083,50.7,47.4
1743941,13.9,14.6
1535602,47.5,22.8
1512020,53.5,117.3
1512444,7.1,-14.2
1021944,7.5,-6.9
1537703,20.0,22.2
826794,-9.8,5.9
1218957,82.5,125.2
1690295,48.3,120.8
937760,20.4,25.8
1664847,2.3,3.9
1531064,-24.9,-15.7
1127799,4.2,7.6
1643833,-9.9,-5.1
1534378,-11.7,-9.4
1633516,167.3,139.2
1020066,-15.3,-9.5
1510589,38.0,33.8
1588873,19.9,29.7
1633172,8.2,5.8
1141781,-7.7,3.7
1802136,2.4,10.9
1776090,82.0,32.7
914976,4.6,23.4
356264,-3.1,24.5
1504941,2.6,4.0
1538773,19.1,7.0
1599330,75.1,8.3
849854,-13.9,88.1
868911,3.0,-29.6
1540656,66.9,143.5
1727269,-13.3,-8.9
1425949,-9.1,-9.4
1423282,-50.9,-16.7
919458,-1.2,-0.2
1536080,58.3,172.4
1768195,3.7,8.6
1595509,98.6,9.1
1769288,7.4,14.4
1800465,35.2,45.8
1632096,101.4,10.3
1133999,-20.3,-17.5
1602603,-1.8,2.9
1050743,6.7,39.1
1616667,169.7,259.4
1682598,-19.2,-19.9
1665198,12.9,10.5
1058949,103.2,11.2
1786411,8.0,14.1
1513137,9.9,251.8
1430233,4.0,6.5
1729755,5.4,10.9
1362033,7.8,98.5
1092838,-21.9,-32.1
1744967,12.6,-5.5
743127,-11.4,-12.0
1213310,-19.8,11.5
1123798,-22.1,-30.1
1692507,68.8,104.3
1610769,31.0,59.0
1757128,2.9,6.9
1512647,23.0,9.4
1535859,-3.7,3.1
1056827,0.4,4.5
1323255,-6.2,-4.2
1818207,7.5,10.7
1799435,-0.4,-10.7
873759,-4.9,2.0
1383161,12.1,10.9
1100710,9.7,12.3
1423876,65.7,65.7
1135631,99.0,62.1
1696957,43.9,45.7
1748930,10.2,14.9
1533950,-12.4,-9.5
1800234,8.1,46.6
1802107,-0.5,3.9
1607978,6.8,11.6
1745879,-29.9,-13.3
1652174,120.1,84.1
1631614,3.1,0.6
1794543,11.7,12.0
1542302,7.8,6.5
1665359,12.6,15.8
1803648,5.6,11.7
1120926,-7.7,-2.5
1008868,-6.3,-6.2
1352467,1.1,5.3
1169581,-9.9,-17.1
1730815,3.4,8.4
1685771,-7.6,-3.6
1456670,2.1,1.6
1541741,-1.9,11.8
1535096,39.4,83.4
1536442,-11.4,-8.5
1569148,-2.0,-0.4
1370102,23.2,39.0
1305707,5.1,3.0
1276525,-3.5,38.2
861462,-7.1,-5.3
1803089,7.6,4.2
1105468,105.4,-11.5
1598244,-3.0,12.8
1166308,9.4,6.1
1277403,4.7,12.2
902614,-15.1,-15.4
1730882,-4.8,-11.4
1259969,3.6,6.0
1667694,88.6,-0.8
1666746,-22.6,-14.1
1584086,12.4,11.6
883948,11.5,54.2
1317209,-5.2,-2.2
1762294,13.1,36.0
1431518,-24.7,-22.2
1741224,-0.1,42.5
1308685,-9.7,-5.7
1212897,-31.5,-16.1
1105837,-9.3,17.9
1731359,-2.2,1.4
1654648,12.5,36.2
1526411,-5.5,-1.6
944234,-11.9,-7.4
1089877,34.9,6.9
1166559,-4.0,7.3
1802994,0.1,7.0
1389256,0.0,5.1
1777914,5.3,10.3
1761871,4.0,6.3
1546190,-15.2,-13.6
1632802,1.0,1.9
1767940,53.1,87.1
1563223,-14.8,2.3
1552564,15.3,115.4
1747749,18.8,16.1
1314440,-5.4,-6.1
1435346,-22.4,-23.7
1278641,-13.9,-13.5
1527198,-13.9,87.4
1803277,-1.1,182.2
1731530,4.3,42.3
1017645,14.1,17.9
1067532,-4.3,0.7
108572,-4.7,0.4
1352864,4.9,26.5
1622431,3.3,4.6
1316926,9.2,172.5
1343916,-4.3,-0.5
1611613,-16.1,-8.4
1767715,18.7,35.2
1666741,85.0,85.9
1546967,2.4,-3.1
898399,-10.8,-11.6
1814234,46.8,39.2
1559972,21.9,29.2
1767982,0.1,5.0
1343781,-20.7,-17.1
1326918,-4.5,-5.9
937394,-22.7,-27.0
1561784,-41.7,-22.0
1542162,13.7,39.5
1595932,-9.5,-4.1
1269950,-12.4,-7.2
1698068,10.5,12.7
1287618,-7.3,19.6
741073,8.4,123.2
1285973,0.3,-0.7
764106,9.6,77.3
1736982,17.5,18.1
1476225,-6.5,-15.3
1798926,-5.0,0.6
1104329,-20.3,-14.3
1784777,13.2,21.6
1056288,-8.0,12.2
1230765,-8.6,-7.9
1082461,-3.4,-0.1
1787596,25.0,-5.4
1783599,19.5,29.6
1606666,12.6,18.1
1055290,0.4,4.0
1761044,-0.2,8.9
1175523,94.1,82.6
900529,-13.9,-6.0
1315339,-2.4,46.7
1033244,-21.9,-32.2
1625246,9.0,12.7
1803087,-40.0,-36.4
1308016,-2.6,0.9
1357372,9.7,87.5
1092290,-4.0,1.3
1535695,72.2,94.1
765443,-5.4,-1.2
1127990,-7.0,-4.6
1456417,-22.4,-19.8
1593038,9.2,8.7
1687241,78.1,39.9
1251567,-12.3,33.6
1682733,3.5,2.3
1542165,232.0,0.4
1161927,-22.2,-16.5
1684868,-2.1,4.6
1554656,-0.2,5.4
1286534,-15.3,-13.2
1569141,43.3,49.9
1410833,-4.7,-0.6
1364739,-53.5,-35.7
1767724,20.2,10.9
1800261,5.2,-15.4
1731191,163.0,125.9
1611848,-0.7,20.3
1508512,24.5,31.3
1598843,-1.9,-1.3
1803848,97.7,361.0
1811783,6.3,11.0
1667232,160.9,34.1
1439743,-4.3,348.5
1449434,15.8,170.8
807249,-18.2,-16.9
1218735,61.9,40.7
1580212,11.0,20.3
1631615,-22.8,-15.9
