cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1114928,-3.7,0.594,4.2,4.3,2.5,0.125,0.21,17.5,-33.61,-7.8,8.4,-0.929
1606430,-0.7,1.198,12.7,13.4,9.5,0.38,1.25,28.2,-18.91,1.2,12.0,0.1
1603142,-47.4,1.72,-23.6,-21.6,-38.7,-0.6,-0.531,42.6,-88.04,-38.3,18.2,-2.104
1691982,59.4,-0.138,60.0,74.9,45.0,0.754,2.77,76.9,-41.41,47.5,39.2,1.212
1800692,25.5,1.615,49.2,59.1,50.1,1.183,5.445,39.9,-13.86,33.7,16.6,2.03
1802131,-8.2,0.882,5.8,5.9,-16.3,0.056,0.152,67.6,-62.37,-9.8,33.3,-0.294
1728689,-13.5,1.871,17.1,18.2,11.9,0.437,0.854,34.5,-31.09,-0.2,11.4,-0.018
1467902,149.0,-3.514,116.2,177.4,-13.6,0.451,2.236,253.3,-89.09,104.3,127.8,0.816
1581793,45.5,-0.831,37.8,43.5,11.4,0.417,0.773,85.8,-69.84,24.1,43.9,0.549
1619083,47.4,3.407,87.3,120.4,16.8,0.708,1.982,120.6,-85.3,74.2,57.4,1.293
1743941,14.6,0.803,24.8,27.2,25.7,1.361,6.432,16.7,-5.95,12.6,6.1,2.066
1535602,22.8,0.7,31.3,35.2,13.4,0.379,0.934,77.3,-69.85,20.1,38.5,0.522
1512020,117.3,6.014,180.0,342.1,14.1,0.502,4.068,354.6,-90.65,167.9,176.2,0.953
1512444,-14.2,0.959,-5.3,-5.2,-17.4,-0.135,-0.3,54.1,-32.92,-14.5,26.8,-0.541
1021944,-6.9,1.606,10.9,11.4,5.4,0.258,0.609,34.5,-29.16,-0.9,14.9,-0.06
1537703,22.2,1.029,34.7,39.5,36.5,1.415,3.082,23.1,-13.67,22.5,10.3,2.184
826794,5.9,3.007,43.7,51.5,18.1,0.582,1.261,71.7,-59.92,29.8,31.5,0.946
1218957,125.2,12.86,247.9,588.3,-7.3,0.646,5.076,380.7,-89.14,236.5,189.6,1.247
1690295,120.8,1.453,142.9,239.4,94.9,0.828,14.911,170.2,-33.55,127.1,84.4,1.506
937760,25.8,0.139,29.1,32.4,15.2,0.386,1.393,70.1,-44.57,17.5,35.5,0.493
1664847,3.9,1.081,17.7,18.9,16.0,0.686,1.037,22.8,-29.94,4.8,8.7,0.552
1531064,-15.7,1.412,0.3,0.3,-1.8,-0.081,-0.012,20.6,-19.57,-11.6,8.8,-1.318
1127799,7.6,1.058,22.2,24.2,22.3,1.126,2.358,18.0,-15.16,8.3,6.1,1.361
1643833,-5.1,1.354,9.9,10.2,8.0,0.396,0.653,19.9,-25.42,-1.7,4.9,-0.347
1534378,-9.4,0.915,1.4,1.4,-4.6,-0.021,0.032,27.4,-69.07,-10.2,12.7,-0.803
1633516,139.2,-2.254,119.6,184.8,55.7,0.549,2.337,214.1,-76.33,108.1,108.0,1.001
1020066,-9.5,1.839,11.4,11.9,5.9,0.285,0.483,33.0,-35.44,-0.9,12.8,-0.07
