cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1386364,-7.5,1.097,6.0,6.1,3.5,0.181,0.408,22.0,-19.47,-6.5,3.8,-1.711
1475940,5.4,1.223,20.2,21.8,17.7,0.669,1.18,27.2,-26.97,7.7,10.3,0.748
1390457,7.0,1.548,25.3,27.8,-12.5,0.226,0.673,102.9,-68.57,12.8,50.3,0.254
1566089,4.7,2.128,29.2,32.5,12.5,0.508,0.795,53.5,-65.36,16.6,20.7,0.802
1476993,55.8,1.284,73.1,95.7,18.3,0.416,2.237,171.1,-59.14,59.2,85.0,0.696
1365559,-3.6,0.99,8.8,9.1,7.7,0.423,0.641,16.2,-22.9,-3.7,3.4,-1.088
1567993,0.2,1.189,14.7,15.5,11.4,0.457,0.777,27.7,-23.98,2.2,10.8,0.204
1802670,12.8,0.74,26.6,29.3,27.3,1.324,5.229,18.6,-9.56,8.7,7.5,1.16
1473429,5.5,0.284,10.5,10.9,9.8,0.587,1.429,14.5,-10.41,-2.0,8.8,-0.227
1021296,-6.9,1.012,11.2,11.7,9.8,0.489,1.208,18.8,-13.25,-6.7,4.4,-1.523
1735445,11.3,1.333,28.3,31.4,23.6,0.718,1.357,36.6,-35.91,15.1,13.4,1.127
1370629,-10.5,1.465,6.9,7.1,3.7,0.195,0.324,25.0,-29.87,-5.6,7.0,-0.8
1598550,-3.2,1.146,10.5,10.9,8.7,0.418,0.678,20.3,-24.74,-1.7,5.4,-0.315
1278951,41.7,3.197,78.3,104.5,11.4,0.558,1.923,136.7,-70.88,65.5,66.1,0.991
1482970,-1.1,1.334,14.9,15.8,12.5,0.512,0.954,25.3,-23.07,2.4,8.2,0.293
1056559,-4.1,1.132,10.1,10.5,8.8,0.465,0.615,17.5,-25.49,-2.7,2.1,-1.286
1755933,17.0,1.573,36.1,41.3,27.0,0.579,2.269,58.9,-23.25,23.2,26.2,0.885
1270764,-9.6,1.243,7.3,7.5,2.3,0.165,0.345,32.0,-27.75,-6.7,11.7,-0.573
