Date,Ticker,Open,High,Low,Close,Volume,OpenAdjusted,HighAdjusted,LowAdjusted,CloseAdjusted,VolumeAdjusted
2022-04-08,VYGG,9.98,9.99,9.96,9.98,85061.0,9.98,9.99,9.96,9.98,85061.0
2022-04-11,VYGG,10.0,10.03,9.95,9.98,348760.0,10.0,10.03,9.95,9.98,348760.0
2022-04-12,VYGG,9.97,10.0499,9.95,9.96,157704.0,9.97,10.0499,9.95,9.96,157704.0
2022-04-13,VYGG,9.96,9.96,9.91,9.945,113086.0,9.96,9.96,9.91,9.945,113086.0
2022-04-14,VYGG,9.95,9.96,9.93,9.95,45786.0,9.95,9.96,9.93,9.95,45786.0
2022-04-15,VYGG,9.95,9.96,9.93,9.95,45786.0,9.95,9.96,9.93,9.95,45786.0
2022-04-18,VYGG,9.94,9.965,9.93,9.95,325451.0,9.94,9.965,9.93,9.95,325451.0
2022-04-19,VYGG,9.95,9.98,9.94,9.96,93584.0,9.95,9.98,9.94,9.96,93584.0
2022-04-20,VYGG,9.95,9.97,9.93,9.96,572558.0,9.95,9.97,9.93,9.96,572558.0
2022-04-21,VYGG,9.96,9.98,9.94,9.96,162552.0,9.96,9.98,9.94,9.96,162552.0
2022-04-22,VYGG,9.94,10.0,9.94,9.96,77948.0,9.94,10.0,9.94,9.96,77948.0
2022-04-25,VYGG,9.94,10.0,9.94,9.99,141038.0,9.94,10.0,9.94,9.99,141038.0
2022-04-26,VYGG,9.99,10.0,9.97,9.97,47175.0,9.99,10.0,9.97,9.97,47175.0
2022-04-27,VYGG,9.97,9.9701,9.95,9.95,107512.0,9.97,9.9701,9.95,9.95,107512.0
2022-04-28,VYGG,9.94,9.9688,9.93,9.94,576428.0,9.94,9.9688,9.93,9.94,576428.0
2022-04-29,VYGG,9.93,9.955,9.93,9.94,298474.0,9.93,9.955,9.93,9.94,298474.0
2022-05-02,VYGG,9.95,9.96,9.93,9.95,622554.0,9.95,9.96,9.93,9.95,622554.0
2022-05-03,VYGG,9.93,9.955,9.93,9.94,199764.0,9.93,9.955,9.93,9.94,199764.0
2022-05-04,VYGG,9.93,9.96,9.93,9.93,328819.0,9.93,9.96,9.93,9.93,328819.0
2022-05-05,VYGG,9.97,10.01,9.93,9.93,222553.0,9.97,10.01,9.93,9.93,222553.0
2022-05-06,VYGG,9.93,9.96,9.92,9.92,73248.0,9.93,9.96,9.92,9.92,73248.0
2022-05-09,VYGG,9.92,10.0,9.88,9.88,285067.0,9.92,10.0,9.88,9.88,285067.0
2022-05-10,VYGG,9.87,9.91,9.87,9.88,68475.0,9.87,9.91,9.87,9.88,68475.0
2022-05-11,VYGG,9.9,9.9,9.85,9.85,127591.0,9.9,9.9,9.85,9.85,127591.0
2022-05-12,VYGG,9.86,9.9,9.83,9.83,489848.0,9.86,9.9,9.83,9.83,489848.0
2022-05-13,VYGG,9.86,9.86,9.83,9.83,41742.0,9.86,9.86,9.83,9.83,41742.0
2022-05-16,VYGG,9.8601,9.88,9.84,9.86,117486.0,9.8601,9.88,9.84,9.86,117486.0
2022-05-17,VYGG,9.865,9.87,9.8511,9.86,37616.0,9.865,9.87,9.8511,9.86,37616.0
2022-05-18,VYGG,9.87,9.89,9.85,9.87,33982.0,9.87,9.89,9.85,9.87,33982.0
2022-05-19,VYGG,9.87,9.9,9.85,9.89,47162.0,9.87,9.9,9.85,9.89,47162.0
2022-05-20,VYGG,9.86,9.9,9.84,9.9,206102.0,9.86,9.9,9.84,9.9,206102.0
2022-05-23,VYGG,9.88,9.9,9.87,9.9,49187.0,9.88,9.9,9.87,9.9,49187.0
2022-05-24,VYGG,9.89,9.9,9.88,9.89,54815.0,9.89,9.9,9.88,9.89,54815.0
2022-05-25,VYGG,9.8809,9.92,9.88,9.89,50280.0,9.8809,9.92,9.88,9.89,50280.0
2022-05-26,VYGG,9.88,9.92,9.88,9.91,33988.0,9.88,9.92,9.88,9.91,33988.0
2022-05-27,VYGG,9.9,9.92,9.87,9.89,1458204.0,9.9,9.92,9.87,9.89,1458204.0
2022-05-30,VYGG,9.9,9.92,9.87,9.89,1458204.0,9.9,9.92,9.87,9.89,1458204.0
2022-05-31,VYGG,9.9,9.91,9.88,9.91,78156.0,9.9,9.91,9.88,9.91,78156.0
2022-06-01,VYGG,9.893,9.91,9.893,9.9,8961.0,9.893,9.91,9.893,9.9,8961.0
2022-06-02,VYGG,9.88,9.91,9.88,9.9,15343.0,9.88,9.91,9.88,9.9,15343.0
2022-06-03,VYGG,9.9,9.91,9.9,9.9,26900.0,9.9,9.91,9.9,9.9,26900.0
2022-06-06,VYGG,9.9,9.91,9.9,9.91,34647.0,9.9,9.91,9.9,9.91,34647.0
2022-06-07,VYGG,9.9,9.91,9.89,9.9,116102.0,9.9,9.91,9.89,9.9,116102.0
2022-06-08,VYGG,9.89,9.901,9.89,9.9,27721.0,9.89,9.901,9.89,9.9,27721.0
2022-06-09,VYGG,9.895,9.9,9.89,9.89,9581.0,9.895,9.9,9.89,9.89,9581.0
2022-06-10,VYGG,9.9,9.91,9.8911,9.9,92061.0,9.9,9.91,9.8911,9.9,92061.0
2022-06-13,VYGG,9.9,9.9094,9.89,9.895,34034.0,9.9,9.9094,9.89,9.895,34034.0
2022-06-14,VYGG,9.88,9.9,9.88,9.9,49583.0,9.88,9.9,9.88,9.9,49583.0
2022-06-15,VYGG,9.88,9.9,9.88,9.89,64829.0,9.88,9.9,9.88,9.89,64829.0
2022-06-16,VYGG,9.87,9.89,9.87,9.88,20646.0,9.87,9.89,9.87,9.88,20646.0
2022-06-17,VYGG,9.885,9.9,9.88,9.89,74439.0,9.885,9.9,9.88,9.89,74439.0
2022-06-20,VYGG,9.885,9.9,9.88,9.89,74439.0,9.885,9.9,9.88,9.89,74439.0
2022-06-21,VYGG,9.89,9.9,9.88,9.885,110110.0,9.89,9.9,9.88,9.885,110110.0
2022-06-22,VYGG,9.89,9.89,9.86,9.88,181665.0,9.89,9.89,9.86,9.88,181665.0
2022-06-23,VYGG,9.88,9.895,9.88,9.88,869511.0,9.88,9.895,9.88,9.88,869511.0
2022-06-24,VYGG,9.88,9.89,9.88,9.89,33672.0,9.88,9.89,9.88,9.89,33672.0
2022-06-27,VYGG,9.8806,9.9,9.88,9.895,13937.0,9.8806,9.9,9.88,9.895,13937.0
2022-06-28,VYGG,9.89,9.9,9.89,9.895,18039.0,9.89,9.9,9.89,9.895,18039.0
2022-06-29,VYGG,9.89,9.9,9.89,9.89,176429.0,9.89,9.9,9.89,9.89,176429.0
2022-06-30,VYGG,9.9,9.91,9.88,9.8932,140865.0,9.9,9.91,9.88,9.8932,140865.0
2022-07-01,VYGG,9.9,9.9,9.88,9.885,252602.0,9.9,9.9,9.88,9.885,252602.0
2022-07-04,VYGG,9.9,9.9,9.88,9.885,252602.0,9.9,9.9,9.88,9.885,252602.0
2022-07-05,VYGG,9.89,9.9,9.88,9.9,179130.0,9.89,9.9,9.88,9.9,179130.0
2022-07-06,VYGG,9.9,9.9,9.89,9.9,42032.0,9.9,9.9,9.89,9.9,42032.0
2022-07-07,VYGG,9.89,9.9052,9.89,9.9,66278.0,9.89,9.9052,9.89,9.9,66278.0
2022-07-08,VYGG,9.9,9.91,9.89,9.89,99092.0,9.9,9.91,9.89,9.89,99092.0
2022-07-11,VYGG,9.91,9.91,9.89,9.9,31616.0,9.91,9.91,9.89,9.9,31616.0
2022-07-12,VYGG,9.91,9.9299,9.9,9.91,522544.0,9.91,9.9299,9.9,9.91,522544.0
2022-07-13,VYGG,9.92,9.92,9.91,9.91,5712.0,9.92,9.92,9.91,9.91,5712.0
2022-07-14,VYGG,9.91,9.92,9.91,9.91,518317.0,9.91,9.92,9.91,9.91,518317.0
2022-07-15,VYGG,9.91,9.918,9.91,9.91,233170.0,9.91,9.918,9.91,9.91,233170.0
2022-07-18,VYGG,9.92,9.92,9.91,9.91,87333.0,9.92,9.92,9.91,9.91,87333.0
2022-07-19,VYGG,9.9092,9.9155,9.9,9.91,185530.0,9.9092,9.9155,9.9,9.91,185530.0
2022-07-20,VYGG,9.915,9.92,9.91,9.92,56936.0,9.915,9.92,9.91,9.92,56936.0
2022-07-21,VYGG,9.92,9.93,9.91,9.93,286146.0,9.92,9.93,9.91,9.93,286146.0
2022-07-22,VYGG,9.92,9.94,9.92,9.92,106736.0,9.92,9.94,9.92,9.92,106736.0
2022-07-25,VYGG,9.93,9.94,9.92,9.93,612249.0,9.93,9.94,9.92,9.93,612249.0
2022-07-26,VYGG,9.94,9.95,9.925,9.95,200214.0,9.94,9.95,9.925,9.95,200214.0
2022-07-27,VYGG,9.95,9.95,9.92,9.93,235316.0,9.95,9.95,9.92,9.93,235316.0
2022-07-28,VYGG,9.93,9.95,9.93,9.95,125202.0,9.93,9.95,9.93,9.95,125202.0
2022-07-29,VYGG,9.94,9.94,9.93,9.94,66964.0,9.94,9.94,9.93,9.94,66964.0
2022-08-01,VYGG,9.94,9.96,9.9301,9.94,246641.0,9.94,9.96,9.9301,9.94,246641.0
2022-08-02,VYGG,9.95,9.95,9.935,9.95,290450.0,9.95,9.95,9.935,9.95,290450.0
2022-08-03,VYGG,9.945,10.0,9.92,9.94,390668.0,9.945,10.0,9.92,9.94,390668.0
2022-08-04,VYGG,9.95,10.0,9.93,9.95,128020.0,9.95,10.0,9.93,9.95,128020.0
2022-08-05,VYGG,9.95,10.01,9.94,9.945,240588.0,9.95,10.01,9.94,9.945,240588.0
2022-08-08,VYGG,9.96,9.96,9.93,9.94,477005.0,9.96,9.96,9.93,9.94,477005.0
2022-08-09,VYGG,9.94,9.95,9.94,9.95,69430.0,9.94,9.95,9.94,9.95,69430.0
2022-08-10,VYGG,9.97,9.97,9.9495,9.96,89103.0,9.97,9.97,9.9495,9.96,89103.0
2022-08-11,VYGG,9.97,10.01,9.95,9.955,83144.0,9.97,10.01,9.95,9.955,83144.0
2022-08-12,VYGG,9.9509,9.96,9.95,9.96,2974.0,9.9509,9.96,9.95,9.96,2974.0
2022-08-15,VYGG,9.95,9.97,9.95,9.97,231834.0,9.95,9.97,9.95,9.97,231834.0
2022-08-16,VYGG,9.97,9.98,9.95,9.96,163609.0,9.97,9.98,9.95,9.96,163609.0
2022-08-17,VYGG,9.96,9.975,9.96,9.97,102272.0,9.96,9.975,9.96,9.97,102272.0
2022-08-18,VYGG,9.97,9.98,9.96,9.98,1697158.0,9.97,9.98,9.96,9.98,1697158.0
2022-08-19,VYGG,9.96,9.98,9.96,9.98,8056.0,9.96,9.98,9.96,9.98,8056.0
2022-08-22,VYGG,9.96,9.98,9.96,9.97,13290.0,9.96,9.98,9.96,9.97,13290.0
2022-08-23,VYGG,9.97,9.98,9.97,9.97,4174.0,9.97,9.98,9.97,9.97,4174.0
2022-08-24,VYGG,9.98,9.98,9.96,9.97,38494.0,9.98,9.98,9.96,9.97,38494.0
2022-08-25,VYGG,9.985,10.0,9.97,9.98,349770.0,9.985,10.0,9.97,9.98,349770.0
2022-08-26,VYGG,9.99,10.0,9.98,10.0,213871.0,9.99,10.0,9.98,10.0,213871.0
2022-08-29,VYGG,9.99,10.0,9.99,10.0,1739.0,9.99,10.0,9.99,10.0,1739.0
2022-08-30,VYGG,10.0,10.0,9.99,9.995,104358.0,10.0,10.0,9.99,9.995,104358.0
2022-08-31,VYGG,9.98,10.0,9.98,10.0,8880.0,9.98,10.0,9.98,10.0,8880.0
2022-09-01,VYGG,9.99,10.0,9.98,9.99,16285.0,9.99,10.0,9.98,9.99,16285.0
2022-09-02,VYGG,9.997,10.0,9.98,9.99,3679.0,9.997,10.0,9.98,9.99,3679.0
2022-09-05,VYGG,9.997,10.0,9.98,9.99,3679.0,9.997,10.0,9.98,9.99,3679.0
2022-09-06,VYGG,9.98,10.0,9.98,9.995,20423.0,9.98,10.0,9.98,9.995,20423.0
2022-09-07,VYGG,9.98,10.0,9.98,9.995,228698.0,9.98,10.0,9.98,9.995,228698.0
2022-09-08,VYGG,9.995,10.005,9.99,9.99,271841.0,9.995,10.005,9.99,9.99,271841.0
2022-09-09,VYGG,9.99,10.0,9.99,9.99,320221.0,9.99,10.0,9.99,9.99,320221.0
2022-09-12,VYGG,9.99,10.0,9.99,9.99,42232.0,9.99,10.0,9.99,9.99,42232.0
2022-09-13,VYGG,9.99,10.0,9.99,9.99,10741.0,9.99,10.0,9.99,9.99,10741.0
2022-09-14,VYGG,9.99,10.01,9.99,10.01,128201.0,9.99,10.01,9.99,10.01,128201.0
2022-09-15,VYGG,10.0,10.01,10.0,10.0,58156.0,10.0,10.01,10.0,10.0,58156.0
2022-09-16,VYGG,10.0,10.01,10.0,10.01,36912.0,10.0,10.01,10.0,10.01,36912.0
2022-09-19,VYGG,10.0,10.01,9.99,10.0,261576.0,10.0,10.01,9.99,10.0,261576.0
2022-09-20,VYGG,10.0,10.04,10.0,10.02,644295.0,10.0,10.04,10.0,10.02,644295.0
2022-09-21,VYGG,10.02,10.02,10.01,10.02,78111.0,10.02,10.02,10.01,10.02,78111.0
2022-09-22,VYGG,10.02,10.02,10.01,10.01,237438.0,10.02,10.02,10.01,10.01,237438.0
2022-09-23,VYGG,10.01,10.01,10.0,10.005,284817.0,10.01,10.01,10.0,10.005,284817.0
2022-09-26,VYGG,9.99,10.01,9.99,10.0,2156295.0,9.99,10.01,9.99,10.0,2156295.0
2022-09-27,VYGG,10.03,10.04,10.03,10.04,1283186.0,10.03,10.04,10.03,10.04,1283186.0
2022-09-28,VYGG,10.04,10.045,10.03,10.035,3619138.0,10.04,10.045,10.03,10.035,3619138.0
2022-09-29,VYGG,10.03,10.05,10.03,10.0399,341789.0,10.03,10.05,10.03,10.0399,341789.0
2022-09-30,VYGG,10.04,10.04,10.03,10.035,146434.0,10.04,10.04,10.03,10.035,146434.0
2022-10-03,VYGG,10.05,10.05,10.04,10.05,169809.0,10.05,10.05,10.04,10.05,169809.0
2022-10-04,VYGG,10.045,10.05,10.04,10.05,28471.0,10.045,10.05,10.04,10.05,28471.0
2022-10-05,VYGG,10.05,10.055,10.04,10.04,473841.0,10.05,10.055,10.04,10.04,473841.0
2022-01-03,KWAC,10.122,10.15,10.122,10.15,15795.0,10.122,10.15,10.122,10.15,15795.0
2022-01-04,KWAC,10.14,10.14,10.14,10.14,1.0,10.14,10.14,10.14,10.14,1.0
2022-01-05,KWAC,10.16,10.16,10.15,10.15,809.0,10.16,10.16,10.15,10.15,809.0
2022-01-06,KWAC,10.14,10.14,10.13,10.14,1881.0,10.14,10.14,10.13,10.14,1881.0
2022-01-07,KWAC,10.13,10.15,10.13,10.15,12450.0,10.13,10.15,10.13,10.15,12450.0
2022-01-10,KWAC,10.14,10.15,10.13,10.13,102.0,10.14,10.15,10.13,10.13,102.0
2022-01-11,KWAC,10.15,10.15,10.15,10.15,101.0,10.15,10.15,10.15,10.15,101.0
2022-01-12,KWAC,10.138,10.15,10.138,10.15,69.0,10.138,10.15,10.138,10.15,69.0
2022-01-13,KWAC,10.1301,10.15,10.13,10.13,77.0,10.1301,10.15,10.13,10.13,77.0
2022-01-14,KWAC,10.25,10.25,10.14,10.14,105.0,10.25,10.25,10.14,10.14,105.0
2022-01-17,KWAC,10.25,10.25,10.14,10.14,105.0,10.25,10.25,10.14,10.14,105.0
2022-01-18,KWAC,10.14,10.14,10.14,10.14,128.0,10.14,10.14,10.14,10.14,128.0
2022-01-19,KWAC,10.14,10.15,10.14,10.15,22199.0,10.14,10.15,10.14,10.15,22199.0
2022-01-20,KWAC,10.15,10.15,10.14,10.15,2049.0,10.15,10.15,10.14,10.15,2049.0
2022-01-21,KWAC,10.14,10.14,10.14,10.14,10.0,10.14,10.14,10.14,10.14,10.0
2022-01-24,KWAC,10.14,10.15,10.14,10.14,100867.0,10.14,10.15,10.14,10.14,100867.0
2022-01-25,KWAC,10.14,10.15,10.13,10.14,26432.0,10.14,10.15,10.13,10.14,26432.0
2022-01-26,KWAC,10.13,10.24,10.13,10.15,20470.0,10.13,10.24,10.13,10.15,20470.0
2022-01-27,KWAC,10.14,10.15,10.14,10.15,12269.0,10.14,10.15,10.14,10.15,12269.0
2022-01-28,KWAC,10.14,10.15,10.14,10.15,1405.0,10.14,10.15,10.14,10.15,1405.0
2022-01-31,KWAC,10.16,10.16,10.14,10.16,18446.0,10.16,10.16,10.14,10.16,18446.0
2022-02-01,KWAC,10.17,10.17,10.16,10.16,18859.0,10.17,10.17,10.16,10.16,18859.0
2022-02-02,KWAC,10.15,10.15,10.14,10.14,279.0,10.15,10.15,10.14,10.14,279.0
2022-02-03,KWAC,10.15,10.16,10.15,10.15,45014.0,10.15,10.16,10.15,10.15,45014.0
2022-02-04,KWAC,10.15,10.16,10.15,10.15,6206.0,10.15,10.16,10.15,10.15,6206.0
